ID,Name,City,State,Rating (YP),Count (YP),Rating (TA),Count (TA),Amenity_Family,Amenity_Alcohol,Amenity_Outdoor,Amenity_Wifi,Amenity_Group,Amenity_Reservation,Amenity_Wheelchair,Years,Address,Website
505206903,Milo's Hamburgers,Irondale,AL,five,1,4.0,14,NO,NO,NO,NO,NO,NO,NO,78,1530 Montclair Rd,http://www.miloshamburgers.com
545506381,The Golden Rooster,Irondale,AL,three,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,7001 Crestwood Blvd Ste 1012,N/A
469528779,Moe's Southwest Grill,Mountain Brk,AL,N/A,N/A,3.5,26,NO,YES,NO,NO,NO,NO,NO,22,2737 Highway 280 S,https://locations.moes.com/al/mountain-brook/2737-highway-280?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner
1766823,Sonic Drive-In,Irondale,AL,N/A,N/A,4.0,4,YES,NO,YES,NO,NO,NO,NO,71,1353 Montclair Rd,https://locations.sonicdrivein.com/al/birmingham/1353-montclair-road.html
482321897,Purple Onion,Vestavia Hills,AL,one,1,3.5,46,NO,NO,YES,NO,NO,NO,YES,29,1550 Montgomery Hwy Ste P,https://www.thepurpleonion.co
534181714,Checkers,Gardendale,AL,one,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,890 Odum Rd,https://locations.checkers.com/al/gardendale/890-odum-rd.
558948197,Rally's,Midfield,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,86 Weibel Dr,https://locations.rallys.com/al/midfield/86-weibel-drive?y_source=1_MzI0OTI2Ny01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
568085040,Jack's,Irondale,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,7748 Crestwood Blvd,https://locations.eatatjacks.com/al/birmingham/7748-crestwood-blvd
566917872,Whataburger,Homewood,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,195 State Farm Pkwy,https://locations.whataburger.com/al/homewood/195-state-farm-pkwy.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages
482221604,First Watch,Vestavia Hills,AL,N/A,N/A,4.5,15,NO,NO,NO,NO,NO,NO,YES,N/A,700 Montgomery Hwy,http://www.firstwatch.com
547644504,Jack's,Fultondale,AL,N/A,N/A,2.0,12,NO,NO,NO,NO,NO,NO,NO,N/A,1195 Walker Chapel Rd,http://www.eatatjacks.com
481434745,Milo's Hamburgers,Vestavia Hills,AL,N/A,N/A,4.5,12,NO,NO,NO,NO,NO,NO,YES,N/A,1449 Montgomery Hwy,http://milos.com
534787375,Captain D's Seafood Kitchen,Fairfield,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,666 Bessemer Super Hwy,https://locations.captainds.com/ll/US/AL/Fairfield/666-Bessemer-Super-Hwy
4654476,Tip Top Grill,Hoover,AL,N/A,N/A,4.0,54,NO,NO,YES,NO,YES,NO,NO,21,588 Shades Crest Rd,N/A
8970263,Captain D's Seafood Kitchen,Vestavia Hills,AL,one,2,3.5,8,NO,NO,NO,NO,NO,NO,NO,N/A,1473 Montgomery Hwy,https://locations.captainds.com/ll/US/AL/Vestavia-Hills/1473-Montgomery-Hwy
473124977,Subway,Vestavia,AL,N/A,N/A,3.5,3,NO,NO,NO,NO,NO,NO,NO,15,8000 Liberty Pkwy Ste 124,http://www.subway.com
6222373,Subway,Vestavia Hills,AL,N/A,N/A,2.5,2,NO,NO,NO,NO,NO,NO,YES,59,2972 Columbiana Rd,https://restaurants.subway.com/united-states/al/vestavia/2972-columbiana-rd?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=29147&utm_campaign=evergreen-2020&y_source=1_MTQ5MDE4OTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
473141136,Subway,Vestavia Hills,AL,N/A,N/A,3.0,2,NO,NO,NO,NO,NO,NO,NO,N/A,3305 Lorna Rd Ste 13,https://restaurants.subway.com/united-states/al/hoover/3305-lorna-rd?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=2793&utm_campaign=evergreen-2020&y_source=1_MTQ4OTUxNzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
468088274,Whataburger,Fultondale,AL,three half,3,N/A,N/A,NO,NO,YES,YES,YES,NO,YES,74,1601 Main St,https://locations.whataburger.com/al/fultondale/1601-main-st.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages
7094019,Hamburger Heaven,Irondale,AL,five,1,4.0,68,NO,NO,YES,YES,NO,NO,YES,42,1703 Crestwood Blvd,http://www.thehamburgerheaven.com
15004002,Captain D's Seafood Kitchen,Forestdale,AL,N/A,N/A,4.5,4,NO,NO,NO,NO,NO,NO,NO,N/A,1141 Forestdale Blvd,https://locations.captainds.com/ll/US/AL/Forestdale/1141-Forestdale-Blvd
1534348,Captain D's Seafood Kitchen,Irondale,AL,N/A,N/A,2.5,5,YES,NO,NO,NO,NO,NO,NO,55,7718 Crestwood Blvd,https://locations.captainds.com/ll/US/AL/Irondale/7718-Crestwood-Blvd
465726575,Charley's Grilled Subs,Fairfield,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,7100 Aaron Aronov Dr,http://pizzahut.com
3042731,Sonic Drive-In,Fairfield,AL,N/A,N/A,N/A,N/A,YES,NO,YES,NO,YES,NO,NO,71,6625 Aaron Aronov Dr,https://locations.sonicdrivein.com/al/fairfield/6625-aaron-aronov-drive.html
469489835,Jason's Deli,Hoover,AL,N/A,N/A,4.0,71,NO,YES,YES,YES,NO,NO,NO,9,3032 John Hawkins Pkwy,https://www.jasonsdeli.com/restaurants/hoover-deli
556188360,Redeaux Bistreaux,Center Point,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,3,1679 Center Point Parkway,N/A
469934264,Charley's Grilled Subs,Leeds,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,38,6200 Grand River Blvd E Ste 358,http://www.charleyssteakery.com
481455014,Subway,Bessemer,AL,one,1,5.0,2,NO,NO,NO,NO,NO,NO,NO,N/A,1518 9th Ave N Ste 120,https://restaurants.subway.com/united-states/al/bessemer/1518-ninth-ave-n?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=3112&utm_campaign=evergreen-2020&y_source=1_MTQ4OTg4MTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
572974835,Captain D's Seafood Kitchen,Center Point,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,9973 Parkway E,https://locations.captainds.com/ll/US/AL/Center-Point/9973-Parkway-E
556046102,Jack's,Pleasant Grove,AL,N/A,N/A,1.5,6,NO,NO,NO,NO,NO,NO,NO,N/A,700 Pleasant Grove Rd,https://locations.eatatjacks.com/al/pleasant-grove/700-pleasant-grove-rd
529991301,Charley's Grilled Subs,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,38,3000 Riverchase Galleria Ste E,https://charleys.com
561687876,Bakers & Gyros,Pleasant Grove,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,812 3rd Avenue Cir,N/A
571626184,Sonic Drive-In,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,71,30 Meadowview Dr,https://locations.sonicdrivein.com/al/birmingham/30-meadowview-dr.html
570737951,Whataburger,Hoover,AL,N/A,N/A,1.0,1,NO,NO,NO,NO,NO,NO,NO,N/A,1727 Montgomery Hwy,https://locations.whataburger.com/al/hoover/1727-montgomery-hwy.html
530183844,Panda Express,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,3780 Lorna Rd,N/A
511633496,Weng It,Center Point,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,18,1671 Center Point Pkwy,http://wingit.com
569807951,Culver's,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,6222 Tattersall Blvd,http://culvers.com
1808237,Captain D's Seafood Kitchen,Gardendale,AL,N/A,N/A,N/A,N/A,YES,NO,NO,NO,NO,NO,YES,55,1284 Decatur Hwy,https://locations.captainds.com/ll/US/AL/Gardendale/1284-Decatur-Hwy
457994732,Subway,Hueytown,AL,N/A,N/A,3.5,2,NO,NO,NO,NO,NO,NO,NO,N/A,810 Allison Bonnett Memorial Dr,https://restaurants.subway.com/united-states/al/hueytown/810-allison-bonnett-memorial?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=3483&utm_campaign=evergreen-2020&y_source=1_MTQ4OTc0ODQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
10207309,"Classic Burger aand BBQ, Inc",Bessemer,AL,five,1,4.5,15,NO,NO,NO,NO,NO,NO,NO,35,1732 15th St N,http://www.facebook.com/pages/Classic%20Burger%20and%20BBQ%20Inc/100862526625785
471110334,Captain D's Seafood Kitchen,Hueytown,AL,N/A,N/A,2.0,5,NO,NO,NO,NO,NO,NO,NO,N/A,3067 Allison Bonnett Memorial Dr,https://locations.captainds.com/ll/US/AL/Hueytown/3067-Allison-Bonnett-Memorial-Dr
469568481,Sbarro,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,3000 Riverchase Galleria,http://www.sbarro.com
